wrestler_id,name,birthplace,gender,age,height,weight,career_start,career_end,promotion,rating,votes
13014,Chica Yeye,"Salamanca, Guanajuato, Mexiko",male,,175.0,65.0,2008-07-01,,,,
14831,Aaron Biggs,"Winston-Salem, North Carolina, USA",male,,194.0,180.0,2013-03-30,,,,
19535,Jack Price,"Flint, Michigan, USA",male,,,,2013-01-01,,5,,
19675,Vikas Kumar,"Haryana, Indien",male,,,,2011-01-01,,,,
2308,Paul Jones,"Port Arthur, Texas, USA",male,,183.0,109.0,1961-01-01,1991-01-01,,5.64,14.0
377,Cash Flo,"Kentucky, USA",male,47.0,193.0,154.0,1996-01-01,,,4.0,2.0
8139,Hijo de Pirata Morgan,"Mexico City, Distrito Federal, Mexiko",male,31.0,170.0,80.0,2005-03-25,,,,
855,Patriot,"Columbia, South Carolina, USA",male,,190.0,118.0,1988-01-01,1997-01-01,,6.75,51.0
7864,Mike Incognito,"Florida, USA",male,,178.0,99.0,1988-01-01,,,,
11382,Nick Fame,"Seminole, Florida, USA",male,,180.0,88.0,2006-01-01,2019-01-01,,,
24237,Dulce Tormenta,"El Paso, Texas, USA",female,26.0,170.0,70.0,2015-01-01,,,,
3751,Brad Attitude,"Boone, North Carolina, USA",male,,194.0,103.0,2002-09-01,,,7.0,6.0
1157,Chris Bosh,"Beverly Hills, California, USA",male,,180.0,94.0,2002-11-01,2008-07-06,,7.64,42.0
3844,Teppei Ishizaka,"Meguro, Tokyo, Japan",male,,171.0,85.0,2002-03-03,2008-09-21,,5.0,1.0
14299,Soner Dursun,"Manchester, Greater Manchester, England, UK",male,,,,,,,6.5,2.0
20175,Scott LeDoux,"Crosby-Ironton, Minnesota, USA",male,,,,,,,,
10037,Super Rider,"Ashikaga, Tochigi, Japan",male,60.0,175.0,90.0,1993-10-28,,269,6.67,3.0
96,Cuban Assassin,"Miami, Florida, USA",male,62.0,185.0,120.0,1978-01-01,,,3.92,13.0
9249,Nobe Bryant,"Fort Worth, Texas, USA",male,40.0,185.0,102.0,2000-01-01,,,,
14043,Shaheem Ali,"Philadelphia, Pennsylvania, USA",male,37.0,188.0,104.0,,,,4.67,3.0
13201,Dave The Clown,Mexiko,male,38.0,,,,,,,
16233,Joe Millich,"Colorado, USA",male,,178.0,91.0,,,,,
773,Trent Acid,"Philadelphia, Pennsylvania, USA",male,,180.0,89.0,1995-05-20,2010-01-01,,5.65,65.0
11794,Rod Bell,"Berne, Indiana, USA",male,,,,,,,,
24645,Jake Talos,"McLoud, Oklahoma, USA",male,32.0,213.0,141.0,2021-01-01,,,,
6218,Bob Sweetan,"Goodsoil, Saskatchewan, Canada",male,,178.0,123.0,1965-01-01,1987-01-01,,4.29,7.0
484,Nigel McGuinness,"London, Greater London, England, UK",male,47.0,185.0,102.0,1999-09-01,2011-12-17,2287,9.18,400.0
1296,Mike Hughes,"Stratford, Prince Edward Island, Canada",male,48.0,180.0,118.0,1998-01-01,2022-10-07,,7.33,3.0
14353,Devil Murasaki,"Osaka, Japan",male,,178.0,100.0,1968-01-05,1980-05-16,,,
17838,Kim Su Hong,Südkorea,male,,181.0,103.0,,,,,
4797,Dave Johnson,"Calgary, Alberta, Canada",male,,185.0,113.0,1989-04-01,2017-01-01,,,
25820,Solomon Tupu,"Davenport, Iowa, USA",male,24.0,188.0,135.0,2018-01-01,,,,
5023,Rip Hawk,"Indiana, USA",male,,180.0,112.0,1949-01-01,1982-01-01,,,
19891,Espectro II,Mexiko,male,,168.0,82.0,1958-01-01,,,,
4008,El Phantasmo,"Vancouver, British Columbia, Canada",male,36.0,183.0,88.0,2005-10-30,,,7.65,161.0
6199,Jay Garland,"Phoenix, Arizona, USA",male,,188.0,,2001-11-01,,,,
14119,Heather Lynn,"St. Petersburg, Florida, USA",female,,,,,,,,
17637,Farmer Jones,"Waxahachie, Texas, USA",male,,,91.0,,,,,
24513,Malik Blade,"Orlando, Florida, USA",male,,183.0,82.0,2018-01-01,,1,4.9,10.0
7208,Dakota Darsow,"Maple Grove, Minnesota, USA",male,36.0,183.0,84.0,2008-01-01,,,7.33,3.0
3172,Leroy McGuirk,"Garvin, Oklahoma, USA",male,,,,1933-01-01,1950-02-07,,,
3781,Black Power,Mexiko,male,,,,,,,,
4977,Neftali,"Mexico City, Distrito Federal, Mexiko",female,,,,1987-05-29,,,,
2442,SoCal Val,"Beverly Hills, California, USA",female,37.0,170.0,52.0,,,,5.81,84.0
40,Eric Darkstorm,"Atlanta, Georgia, USA",male,37.0,183.0,93.0,2000-09-01,,,3.33,3.0
5039,Mikki Free,"Greenville, South Carolina, USA",male,,178.0,136.0,1986-01-01,,,,
2399,Shayne Hawke,"Montreal, Quebec, Canada",male,,173.0,85.0,2003-08-01,2023-07-12,,5.28,18.0
4119,El Oriental,"Mexico City, Distrito Federal, Mexiko",male,50.0,168.0,80.0,1992-10-23,,,4.0,1.0
6637,Ryan Dookie,"Corbin, Kentucky, USA",male,,180.0,91.0,2002-01-01,,,,
1605,Damian Adams,"New York City, New York, USA",male,44.0,178.0,91.0,2000-10-01,,,,
1431,Pierroth,"Cuernavaca, Morelos, Mexiko",male,,180.0,97.0,1984-07-01,2008-01-01,,6.4,10.0
2254,Sakie Hasegawa,"Tochigi, Japan",female,,170.0,70.0,1989-12-07,1996-03-31,,7.75,12.0
16695,Takehiro Yamamura,"Osaka, Japan",male,28.0,170.0,75.0,2015-09-11,,2965,7.2,5.0
9844,Nikki Cross,"Glasgow, Scotland, UK",female,34.0,155.0,55.0,2008-09-20,,1,7.06,259.0
949,Bart Sawyer,"Kansas City, Missouri, USA",male,,178.0,101.0,1988-04-22,2004-01-01,,5.5,4.0
12593,Billy McNeil,"Missouri, USA",male,,180.0,77.0,1999-09-17,,,,
8438,Ares el Guerrero,"Tlaxcala, Mexiko",male,,167.0,80.0,1988-01-01,,,,
23932,Vary Morales,"Ciudad Juarez, Mexiko",male,30.0,,75.0,2009-01-01,,,6.0,1.0
4092,Espectro,"Mexico City, Distrito Federal, Mexiko",male,,172.0,87.0,1951-01-01,1959-09-25,,7.0,1.0
