id,username,handle,date,text,replies,retweets,likes,bookmarks,views
1686000031948472320,Peacock,@peacock,2023-07-31T13:05:06.000Z,"He's come a long way since that first day in the ring  

American Nightmare: #BecomingCodyRhodes is streaming now on Peacock.",39,271,1079,20,162079
1686030471438753792,John Cena,@JohnCena,2023-07-31T15:06:03.000Z,"I am ALWAYS aware that any current opportunity or success in my path does not happen without my 
@WWE
  family or the incredible support of the 
@WWEUniverse
 I am overwhelmed with gratitude.",3046,2726,19499,70,751504
1686028949166415877,WWE NXT,@WWENXT,2023-07-31T15:00:01.000Z,"It was an absolutely WILD night at #GAB... 

What was your match of the night?",41,211,1646,13,117376
1686029666316849152,RheaRipley_WWE,@RheaRipley_WWE,2023-07-31T15:02:52.000Z,AND STILL!!!  #NXTGAB,130,597,6343,48,288272
1686024762923814913,WWE,@WWE,2023-07-31T14:43:22.000Z,"WATCH #BecomingCodyRhodes on 
@peacock
 

FOLLOW 
@CodyRhodes
 on 
@tiktok_us
!

https://tiktok.com/@americannightmarecody/video/7261983356714290478…",18,104,528,3,150243
1685899837072400384,RheaRipley_WWE,@RheaRipley_WWE,2023-07-31T06:26:58.000Z,We Lie. We Cheat. We Steal. #NXTGAB ,212,628,6690,44,279382
1686022779647250432,Cody Rhodes,@CodyRhodes,2023-07-31T14:35:30.000Z,"It’s here - let us know what you think using #BecomingCodyRhodes 

On 
@peacock
 NOW 
@WWE",315,930,5239,36,475893
1686021782795382784,WWE Network,@WWENetwork,2023-07-31T14:31:32.000Z,"The Beast was SEETHING on this day in 2003 and 
@RealKurtAngle
 felt 
@BrockLesnar
's wrath!",16,146,849,11,271019
1686016525856075776,Corey Graves,@WWEGraves,2023-07-31T14:10:39.000Z,"Latest 
@AfterTheBellWWE
 is live on 
@WWE
 YouTube!
@kev_egan
 and I welcome Alpha Academy 
@otiswwe
 & 
@WWEGable
 back to the podcast!

WATCH:",3,68,321,4,81357
1686013988205662208,WWE,@WWE,2023-07-31T14:00:34.000Z,"""Have fun in rehab!""
@RheaRipley_WWE
 is an absolute menace ",84,416,5821,73,892549
1685699307255603200,Sarah Schreiber,@sarahschreib,2023-07-30T17:10:08.000Z,"It’s Great To Be a Miami Hurricane! Full circle moment at my alma mater 
@univmiami
 to perform tonight with 
@wwe
 & announce at the arena I graduated from! An amazing foundation for my career, filled w/ great friends &  memories all leading to this moment.  #wwecoralgables",32,155,1560,38,193312
1685871079913390080,WWE NXT,@WWENXT,2023-07-31T04:32:42.000Z,"What a night it was at #NXTGAB! 

Thank you #WWENXT Universe! 

See you at #NXTNoMercy ",33,169,1109,3,156371
1685861475619913728,WWE,@WWE,2023-07-31T03:54:32.000Z,"EXCLUSIVE: #WWENXT Champion 
@Carmelo_WWE
 knows that he survived a war with 
@UNBESIEGBAR_ZAR
, but he feels that he’s better because of it.

#NXTGAB",32,273,1651,15,201047
1685854002292895744,Carmelo Hayes,@Carmelo_WWE,2023-07-31T03:24:50.000Z,Champ-pain #AndStill,103,479,4371,12,211140
1685822628097859585,Damian Priest,@ArcherOfInfamy,2023-07-31T01:20:10.000Z,"That's my dawg!  Congratulations 
@DomMysterio35
  #NXTGAB",69,394,3414,18,197172
1685847667052527617,WWE,@WWE,2023-07-31T02:59:40.000Z,"EXCLUSIVE: After her big win over 
@BDavenportWWE
, 
@roxanne_wwe
 isn't afraid to say that she's the top Superstar in #WWENXT. 

#NXTGAB",59,431,2283,73,207036
1685846217832505345,WWE,@WWE,2023-07-31T02:53:54.000Z,"EXCLUSIVE: With the #WWENXT Tag Team Titles now in their possession, 
@TonyDangeloWWE
 and 
@Channing_WWE
 are ready to party with #TheFamily. 

#NXTGAB",27,287,1613,22,187348
1685838985262727168,WWE NXT,@WWENXT,2023-07-31T02:25:10.000Z,"WHAT AN UNBELIEVABLE MATCH 

The Melo Dynasty lives on, 
@Carmelo_WWE
 is still your #WWENXT Champion.

#NXTGAB #HIM",275,1179,6336,43,389653
1685837642418569216,WWE,@WWE,2023-07-31T02:19:49.000Z,"THIS MATCH IS CRAZY 

#NXTGAB",178,1410,8927,211,1033787
1685836480877379584,WWE,@WWE,2023-07-31T02:15:13.000Z,"""LET'S GOOOOO""

These two are going crazy right now 

#NXTGAB",36,373,2207,23,237001
1685834754116005888,WWE,@WWE,2023-07-31T02:08:21.000Z,".
@UNBESIEGBAR_ZAR
 is starting to find his groove...

#NXTGAB",25,224,1145,11,172655
1685832645182177280,WWE,@WWE,2023-07-31T01:59:58.000Z,"""Get a dream, hold on to it, and shoot for the sky!""
@Carmelo_WWE
, is ready to put on another show.

#NXTGAB",54,593,2897,71,294028
1685831783118442496,WWE,@WWE,2023-07-31T01:56:32.000Z,".
@UNBESIEGBAR_ZAR
 is ready!

#NXTGAB",79,418,4360,46,351387
1685830960053465089,WWE,@WWE,2023-07-31T01:53:16.000Z,".
@DomMysterio35
, meet 
@dragonlee95
... 
@RheaRipley_WWE
 #NXTGAB",113,669,4702,124,726183
1685830067438440448,WWE,@WWE,2023-07-31T01:49:43.000Z,"Not cool, 
@RheaRipley_WWE
 and 
@DomMysterio35
 

#NXTGAB",475,1886,13380,349,1264340
1685829171518308353,WWE NXT,@WWENXT,2023-07-31T01:46:10.000Z,"WOW!
@AndreChaseWWE
 throws in the towel and 
@tiffstrattonwwe
 is STILL your #WWENXT Women's Champion.

#NXTGAB",249,792,4336,37,309966
1685827988967903234,WWE,@WWE,2023-07-31T01:41:28.000Z,"These two are killing it!
@theahail_wwe
 and 
@tiffstrattonwwe
 are putting it all on the line tonight for the #WWENXT Women's Championship!

#NXTGAB",73,316,1650,28,207039
1685826228291354624,WWE,@WWE,2023-07-31T01:34:28.000Z,"@tiffstrattonwwe
 has arrived in style.

#NXTGAB",102,718,3264,108,304302
1685824121601417216,WWE,@WWE,2023-07-31T01:26:06.000Z,"Message. Sent. 
@_trickwilliams
 just sent a clear warning to 
@UNBESIEGBAR_ZAR
.

#NXTGAB",21,203,1137,18,164581
1685823371576061952,WWE,@WWE,2023-07-31T01:23:07.000Z,"""Like it or not, we're taking over.""
@DomMysterio35
 @RheaRipley_WWE
 #NXTGAB",286,856,7291,66,384590
